company,rule,result,message,info_brief
Morgan Stanley,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 28),"{'numeric_diff': (65, 28, '1,093,711', 1093711.0, 28, '1,093,811', 1093811.0), 'matched_target_line': ('total liabilities', 28, '[row 25]: Total liabilities | | 1,093,711 [SEP]')}"
NIO,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 151),"{'numeric_diff': (319, 151, '117,383,202', 117383202.0, 151, '117,383,999', 117383999.0), 'matched_target_line': ('total liabilities', 151, '[row 13]: Total liabilities, mezzanine equity and shareholders’ equity | 117,383,202 | [SEP]')}"
NVIDIA,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 36),"{'numeric_diff': (71, 35, '22,101', 22101.0, 35, '22,301', 22301.0), 'matched_target_line': ('total liabilities', 36, ""[row 33]: Total liabilities and shareholders' equity | $ | 41,182 [SEP]"")}"
NXP Semiconductors,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 41),"{'numeric_diff': (80, 41, '8,960', 8960.0, 41, '8,860', 8860.0), 'matched_target_line': ('total equity', 41, '[row 38]: Total equity | 8,960 |  [SEP]')}"
Netflix,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 33),"{'numeric_diff': (82, 33, '48,731,992', 48731992.0, 33, '48,831,992', 48831992.0), 'matched_target_line': ('total liabilities', 33, '[row 30]: Total liabilities and stockholders’ equity | $ 48,731,992 | [SEP]')}"
Nike,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 38),"{'numeric_diff': (68, 38, '37,531', 37531.0, 38, '37,831', 37831.0), 'matched_target_line': ('total liabilities', 38, '[row 35]: TOTAL LIABILITIES AND SHAREHOLDERS’ EQUITY | $ | 37,531 [SEP]')}"
ON Semiconductor,BS-01,PASS,PASS: numeric difference found near 'total assets' (line 15),"{'numeric_diff': (26, 15, '13,215.2', 13215.2, 15, '13,315.2', 13315.2), 'matched_target_line': ('total assets', 15, '[row 12]: Total assets | $ | 13,215.2 [SEP]')}"
Oracle,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 41),"{'numeric_diff': (88, 41, '134,384', 134384.0, 41, '134,884', 134884.0), 'matched_target_line': ('total liabilities', 41, ""[row 38]: Total liabilities and stockholders' equity (deficit) | $ | 134,384 [SEP]"")}"
Palantir,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 35),"{'numeric_diff': (84, 35, '3,560,965', 3560965.0, 35, '3,560,865', 3560865.0), 'matched_target_line': ('total equity', 35, '[row 32]: Total equity | 3,560,965 |  [SEP]')}"
Peloton,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 29),"{'numeric_diff': (51, 29, '2,704.3', 2704.3, 29, '2,804.3', 2804.3), 'matched_target_line': ('total liabilities', 29, '[row 26]: Total liabilities | 2,704.3 | [SEP]')}"
PepsiCo,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 41),"{'numeric_diff': (77, 41, '18,637', 18637.0, 41, '18,737', 18737.0), 'matched_target_line': ('total equity', 41, '[row 38]: Total Equity | 18,637 | [SEP]')}"
Pfizer,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 43),"{'numeric_diff': (102, 43, '89,288', 89288.0, 43, '89,188', 89188.0), 'matched_target_line': ('total equity', 43, '[row 40]: Total equity | 89,288 | [SEP]')}"
Philip Morris,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 80),"{'numeric_diff': (165, 80, '65,304', 65304.0, 80, '65,104', 65104.0), 'matched_target_line': ('total liabilities', 80, '[row 28]: Total Liabilities and Stockholders’ (Deficit) Equity | $ 65,304 |  [SEP]')}"
Pinduoduo,BS-01,PASS,PASS: numeric difference found near 'total assets' (line 91),"{'numeric_diff': (165, 91, '49,025,778', 49025778.0, 91, '49,125,778', 49125778.0), 'matched_target_line': ('total assets', 91, '[row 16]: Total Assets | 49,025,778 | [SEP]')}"
Procter and Gamble,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 40),"{'numeric_diff': (73, 39, '47,065', 47065.0, 39, '47,165', 47165.0), 'matched_target_line': ('total liabilities', 40, ""[row 37]: TOTAL LIABILITIES AND SHAREHOLDERS' EQUITY | $ 120,829 | [SEP]"")}"
Qualcomm,BS-01,PASS,PASS: numeric difference found near 'total assets' (line 18),"{'numeric_diff': (31, 18, '51,040', 51040.0, 18, '51,240', 51240.0), 'matched_target_line': ('total assets', 18, '[row 15]: Total assets | $ 51,040 | [SEP]')}"
Robinhood,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 90),"{'numeric_diff': (210, 90, '32,332', 32332.0, 90, '32,231', 32231.0), 'matched_target_line': ('total liabilities', 90, '[row 42]: Total liabilities and stockholders’ equity | $ 32,332 | [SEP]')}"
Roku,BS-01,PASS,PASS: numeric difference found near 'total assets' (line 16),"{'numeric_diff': (32, 16, '4,261,792', 4261792.0, 16, '4,361,792', 4361792.0), 'matched_target_line': ('total assets', 16, '[row 13]: Total Assets | $ | 4,261,792 [SEP]')}"
Salesforce,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 39),"{'numeric_diff': (79, 39, '98,849', 98849.0, 39, '98,749', 98749.0), 'matched_target_line': ('total liabilities', 39, '[row 36]: Total liabilities and stockholders’ equity | $98,849 | [SEP]')}"
Seagate Technology,BS-01,PASS,PASS: numeric difference found near 'total assets' (line 15),"{'numeric_diff': (24, 15, '7,556', 7556.0, 15, '7,756', 7756.0), 'matched_target_line': ('total assets', 15, '[row 12]: Total Assets | $ 7,556 | [SEP]')}"
Snap,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 36),"{'numeric_diff': (95, 36, '7,967,758', 7967758.0, 36, '7,867,758', 7867758.0), 'matched_target_line': ('total liabilities', 36, '[row 33]: Total liabilities and stockholders’ equity | $ 7,967,758 | [SEP]')}"
Starbucks,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 43),"{'numeric_diff': (82, 43, '29,445.5', 29445.5, 43, '29,545.5', 29545.5), 'matched_target_line': ('total liabilities', 43, '[row 40]: TOTAL LIABILITIES AND SHAREHOLDERS’ EQUITY/(DEFICIT) | $ | 29,445.5 [SEP]')}"
Take-Two Interactive,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 36),"{'numeric_diff': (70, 36, '6,819.6', 6819.6, 36, '6,919.6', 6919.6), 'matched_target_line': ('total liabilities', 36, '[row 33]: Total liabilities | $ 6,819.6 | [SEP]')}"
Target,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 35),"{'numeric_diff': (63, 35, '55,356', 55356.0, 35, '55,256', 55256.0), 'matched_target_line': ('total liabilities', 35, ""[row 32]: Total liabilities and shareholders' investment | $ | 55,356 [SEP]"")}"
Tesla,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 43),"{'numeric_diff': (84, 43, '106,618', 106618.0, 43, '106,718', 106718.0), 'matched_target_line': ('total liabilities', 43, '[row 40]: Total liabilities and equity | $ 106,618 | [SEP]')}"
Texas Instruments,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 45),"{'numeric_diff': (85, 44, '16,897', 16897.0, 44, '16,997', 16997.0), 'matched_target_line': ('total liabilities', 45, '[row 42]: Total liabilities and stockholders’ equity | $ 32,348 | [SEP]')}"
Toyota,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 121),"{'numeric_diff': (219, 121, '74,303,180', 74303180.0, 121, '74,303,280', 74303280.0), 'matched_target_line': ('total liabilities', 121, '[row 27]: Total liabilities and shareholders’ equity | 74,303,180 [SEP]')}"
Uber,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 81),"{'numeric_diff': (159, 81, '12,028', 12028.0, 81, '12,128', 12128.0), 'matched_target_line': ('total equity', 81, '[row 37]: Total equity | | 12,028 [SEP]')}"
UnitedHealth Group,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 29),"{'numeric_diff': (59, 29, '174,801', 174801.0, 29, '174,901', 174901.0), 'matched_target_line': ('total liabilities', 29, '[row 26]: Total liabilities | | 174,801 [SEP]')}"
Virgin Galactic,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 35),"{'numeric_diff': (65, 35, '1,179,517', 1179517.0, 35, '1,179,817', 1179817.0), 'matched_target_line': ('total liabilities', 35, ""[row 32]: Total liabilities and stockholders' equity | $ | 1,179,517 [SEP]"")}"
Visa,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 33),"{'numeric_diff': (61, 33, '51,766', 51766.0, 33, '51,866', 51866.0), 'matched_target_line': ('total liabilities', 33, '[row 30]: Total liabilities | | 51,766 [SEP]')}"
Walgreens Boots Alliance,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 47),"{'numeric_diff': (99, 47, '28,322', 28322.0, 47, '28,522', 28522.0), 'matched_target_line': ('total equity', 47, '[row 44]: Total equity | 28,322 | [SEP]')}"
Walmart,BS-01,PASS,PASS: numeric difference found near 'total equity' (line 39),"{'numeric_diff': (69, 39, '83,754', 83754.0, 39, '83,954', 83954.0), 'matched_target_line': ('total equity', 39, '[row 36]: Total equity | | 83,754 [SEP]')}"
Whirlpool,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 45),"{'numeric_diff': (95, 45, '17,312', 17312.0, 45, '17,512', 17512.0), 'matched_target_line': ('total liabilities', 45, ""[row 42]: Total liabilities and stockholders' equity | $ 17,312 | [SEP]"")}"
Zoom Video Communications,BS-01,PASS,PASS: numeric difference found near 'total liabilities' (line 37),"{'numeric_diff': (96, 37, '8,128,065', 8128065.0, 37, '8,128,165', 8128165.0), 'matched_target_line': ('total liabilities', 37, '[row 34]: Total liabilities and stockholders’ equity | $ | 8,128,065 [SEP]')}"
