company,rule,result,message
NIO,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
NVIDIA,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
NXP Semiconductors,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Netflix,SI-01,FAIL,Injected operating-expenses section not found
Nike,SI-01,FAIL,Original other-income section not found
ON Semiconductor,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Oracle,SI-01,FAIL,Original other-income section not found
Palantir,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Peloton,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
PepsiCo,SI-01,FAIL,Original other-income section not found
Pfizer,SI-01,FAIL,Original other-income section not found
Philip Morris,SI-01,FAIL,Original other-income section not found
Pinduoduo,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Procter and Gamble,SI-01,FAIL,Original other-income section not found
Qualcomm,SI-01,FAIL,Injected operating-expenses section not found
Robinhood,SI-01,FAIL,Original other-income section not found
Roku,SI-01,FAIL,No non-operating line from original other-income was found inside injected Operating Expenses block
Salesforce,SI-01,FAIL,Original other-income section not found
Seagate Technology,SI-01,FAIL,Original other-income section not found
Snap,SI-01,FAIL,Injected operating-expenses section not found
Starbucks,SI-01,FAIL,Original other-income section not found
Take-Two Interactive,SI-01,FAIL,Original other-income section not found
Target,SI-01,FAIL,Injected operating-expenses section not found
Tesla,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Texas Instruments,SI-01,FAIL,Injected operating-expenses section not found
Toyota,SI-01,FAIL,Injected operating-expenses section not found
Uber,SI-01,FAIL,Injected operating-expenses section not found
UnitedHealth Group,SI-01,FAIL,Injected operating-expenses section not found
Virgin Galactic,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
Visa,SI-01,FAIL,Original other-income section not found
Walgreens Boots Alliance,SI-01,FAIL,Injected operating-expenses section not found
Walmart,SI-01,FAIL,Injected operating-expenses section not found
Whirlpool,SI-01,FAIL,Original other-income section not found
Zoom Video Communications,SI-01,FAIL,Moved line still present in injected other-income (should have been moved)
3M,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
AMD,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
ATandT,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
AbbVie,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Abbott Laboratories,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
Adobe,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Allstate,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Alphabet (Google),SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Amazon,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
American Express,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Apple,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Applied Materials,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Asana,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Bank of America,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Baxter International,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Berkshire Hathaway,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
Best Buy,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Bilibili,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
Block,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Boeing,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Boston Scientific,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Box,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
Broadcom,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Caterpillar,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
Chevron,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Cisco Systems,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
Coca-Cola,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Corsair Gaming,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
Costco,SI-02,FAIL,Inserted 'Depreciation Expense' is inside the Operating Expenses block (should be outside)
Dell,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
Dell Technologies,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Delta Air Lines,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Disney,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
DraftKings,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
DuPont,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Electronic Arts,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Eli Lilly,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Etsy,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
ExxonMobil,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
FedEx,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Ford Motor,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
General Electric,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
General Motors,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Goldman Sachs,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
HP,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Home Depot,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Honda,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
Honeywell International,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
IBM,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
Intel,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
JD.com,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
JPMorgan Chase,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
Johnson and Johnson,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Kellogg_s,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Li Auto,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
Lockheed Martin,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Logitech,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Lucid Motors,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 2)
Luckin Coffee,SI-02,FAIL,Injected file does not contain 'Depreciation Expense' line
Lyft,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Marriott,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
MasterCard,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
McDonald_s,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Merck,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Meta Platforms,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Microchip Technology,SI-02,FAIL,Inserted 'Depreciation Expense' is inside the Operating Expenses block (should be outside)
Microsoft,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Morgan Stanley,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
NIO,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
NVIDIA,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
NXP Semiconductors,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Netflix,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Nike,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
ON Semiconductor,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Oracle,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Palantir,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Peloton,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
PepsiCo,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Pfizer,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Philip Morris,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Pinduoduo,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 4)
Procter and Gamble,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Qualcomm,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Robinhood,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Roku,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Salesforce,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
Seagate Technology,SI-02,FAIL,Inserted 'Depreciation Expense' is inside the Operating Expenses block (should be outside)
Snap,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Starbucks,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Take-Two Interactive,SI-02,FAIL,Inserted 'Depreciation Expense' is inside the Operating Expenses block (should be outside)
Target,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
Tesla,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Texas Instruments,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Toyota,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
Uber,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
UnitedHealth Group,SI-02,PASS,PASS: Depreciation Expense inserted outside operating expenses
Virgin Galactic,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Visa,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Walgreens Boots Alliance,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Walmart,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Whirlpool,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
Zoom Video Communications,SI-02,FAIL,Expected exactly 1 new 'Depreciation Expense' insertion (found 3)
3M,SI-03,FAIL,Injected still contains 2 'diluted' line(s) (should be removed)
AMD,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
ATandT,SI-03,FAIL,Original does not contain any 'diluted' lines to delete
AbbVie,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Abbott Laboratories,SI-03,PASS,PASS: all 'diluted' lines removed (3 removed)
Adobe,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Allstate,SI-03,PASS,PASS: all 'diluted' lines removed (6 removed)
Alphabet (Google),SI-03,PASS,PASS: all 'diluted' lines removed (3 removed)
Amazon,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
American Express,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Apple,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Applied Materials,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Asana,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Bank of America,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Baxter International,SI-03,PASS,PASS: all 'diluted' lines removed (12 removed)
Berkshire Hathaway,SI-03,FAIL,Original does not contain any 'diluted' lines to delete
Best Buy,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Bilibili,SI-03,FAIL,Original does not contain any 'diluted' lines to delete
Block,SI-03,PASS,PASS: all 'diluted' lines removed (6 removed)
Boeing,SI-03,PASS,PASS: all 'diluted' lines removed (3 removed)
Boston Scientific,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Box,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Broadcom,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Caterpillar,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Chevron,SI-03,PASS,PASS: all 'diluted' lines removed (3 removed)
Cisco Systems,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Coca-Cola,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Corsair Gaming,SI-03,FAIL,Original does not contain any 'diluted' lines to delete
Costco,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Dell,SI-03,PASS,PASS: all 'diluted' lines removed (3 removed)
Dell Technologies,SI-03,PASS,PASS: all 'diluted' lines removed (6 removed)
Delta Air Lines,SI-03,PASS,PASS: all 'diluted' lines removed (3 removed)
Disney,SI-03,PASS,PASS: all 'diluted' lines removed (9 removed)
DraftKings,SI-03,PASS,PASS: all 'diluted' lines removed (3 removed)
DuPont,SI-03,PASS,PASS: all 'diluted' lines removed (12 removed)
Electronic Arts,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Eli Lilly,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Etsy,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
ExxonMobil,SI-03,FAIL,Original does not contain any 'diluted' lines to delete
FedEx,SI-03,PASS,PASS: all 'diluted' lines removed (3 removed)
Ford Motor,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
General Electric,SI-03,PASS,PASS: all 'diluted' lines removed (6 removed)
General Motors,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Goldman Sachs,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
HP,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Home Depot,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Honda,SI-03,FAIL,Original does not contain any 'diluted' lines to delete
Honeywell International,SI-03,FAIL,Original does not contain any 'diluted' lines to delete
IBM,SI-03,FAIL,Original does not contain any 'diluted' lines to delete
Intel,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
JD.com,SI-03,FAIL,Original does not contain any 'diluted' lines to delete
JPMorgan Chase,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Johnson and Johnson,SI-03,PASS,PASS: all 'diluted' lines removed (12 removed)
Kellogg_s,SI-03,PASS,PASS: all 'diluted' lines removed (3 removed)
Li Auto,SI-03,FAIL,Original does not contain any 'diluted' lines to delete
Lockheed Martin,SI-03,PASS,PASS: all 'diluted' lines removed (3 removed)
Logitech,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Lucid Motors,SI-03,FAIL,Injected still contains 6 'diluted' line(s) (should be removed)
Luckin Coffee,SI-03,FAIL,Injected still contains 4 'diluted' line(s) (should be removed)
Lyft,SI-03,PASS,PASS: all 'diluted' lines removed (6 removed)
Marriott,SI-03,PASS,PASS: all 'diluted' lines removed (3 removed)
MasterCard,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
McDonald_s,SI-03,PASS,PASS: all 'diluted' lines removed (6 removed)
Merck,SI-03,FAIL,Original does not contain any 'diluted' lines to delete
Meta Platforms,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Microchip Technology,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Microsoft,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Morgan Stanley,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
NIO,SI-03,FAIL,Original does not contain any 'diluted' lines to delete
NVIDIA,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
NXP Semiconductors,SI-03,PASS,PASS: all 'diluted' lines removed (6 removed)
Netflix,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Nike,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
ON Semiconductor,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Oracle,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Palantir,SI-03,PASS,PASS: all 'diluted' lines removed (6 removed)
Peloton,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
PepsiCo,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Pfizer,SI-03,FAIL,Injected still contains 5 'diluted' line(s) (should be removed)
Philip Morris,SI-03,PASS,PASS: all 'diluted' lines removed (3 removed)
Pinduoduo,SI-03,PASS,PASS: all 'diluted' lines removed (8 removed)
Procter and Gamble,SI-03,PASS,PASS: all 'diluted' lines removed (3 removed)
Qualcomm,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Robinhood,SI-03,PASS,PASS: all 'diluted' lines removed (9 removed)
Roku,SI-03,PASS,PASS: all 'diluted' lines removed (6 removed)
Salesforce,SI-03,FAIL,Injected still contains 1 'diluted' line(s) (should be removed)
Seagate Technology,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Snap,SI-03,PASS,PASS: all 'diluted' lines removed (6 removed)
Starbucks,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Take-Two Interactive,SI-03,PASS,PASS: all 'diluted' lines removed (3 removed)
Target,SI-03,FAIL,Injected still contains 1 'diluted' line(s) (should be removed)
Tesla,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Texas Instruments,SI-03,FAIL,Injected still contains 6 'diluted' line(s) (should be removed)
Toyota,SI-03,PASS,PASS: all 'diluted' lines removed (3 removed)
Uber,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
UnitedHealth Group,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Virgin Galactic,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Visa,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Walgreens Boots Alliance,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Walmart,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
Whirlpool,SI-03,PASS,PASS: all 'diluted' lines removed (6 removed)
Zoom Video Communications,SI-03,FAIL,Injected still contains 3 'diluted' line(s) (should be removed)
3M,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
AMD,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
ATandT,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
AbbVie,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Abbott Laboratories,SI-04,FAIL,More than one 'Miscellaneous other income' added (found 3)
Adobe,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Allstate,SI-04,FAIL,More than one 'Miscellaneous other income' added (found 3)
Alphabet (Google),SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Amazon,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
American Express,SI-04,FAIL,More than one 'Miscellaneous other income' added (found 3)
Apple,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Applied Materials,SI-04,FAIL,More than one 'Miscellaneous other income' added (found 3)
Asana,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Bank of America,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Baxter International,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Berkshire Hathaway,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Best Buy,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Bilibili,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Block,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Boeing,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Boston Scientific,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Box,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Broadcom,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Caterpillar,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Chevron,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Cisco Systems,SI-04,FAIL,More than one 'Miscellaneous other income' added (found 3)
Coca-Cola,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Corsair Gaming,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Costco,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Dell,SI-04,FAIL,More than one 'Miscellaneous other income' added (found 3)
Dell Technologies,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Delta Air Lines,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Disney,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
DraftKings,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
DuPont,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Electronic Arts,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Eli Lilly,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Etsy,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
ExxonMobil,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
FedEx,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Ford Motor,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
General Electric,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
General Motors,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Goldman Sachs,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
HP,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Home Depot,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Honda,SI-04,FAIL,More than one 'Miscellaneous other income' added (found 3)
Honeywell International,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
IBM,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Intel,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
JD.com,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
JPMorgan Chase,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Johnson and Johnson,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
Kellogg_s,SI-04,FAIL,More than one 'Miscellaneous other income' added (found 3)
Li Auto,SI-04,PASS,PASS: 'Miscellaneous other income' inserted correctly near Other Income
